time_s,frequency_hz,delta_frequency_hz,diesel_power_mw,storage_power_mw,storage_soc,power_deficit_mw
2.64,49.33158,-0.668419993,0.212976826,1.01020831,0.799909562,2
2.66,49.3302744,-0.669725551,0.215954417,1.011181,0.799908158,2
2.68,49.3290335,-0.670966514,0.218912677,1.01208469,0.799906752,2
2.7,49.3278552,-0.672144772,0.221851283,1.01292156,0.799905345,2
2.72,49.3267378,-0.673262167,0.224769928,1.01369371,0.799903938,2
2.74,49.3256795,-0.674320496,0.227668326,1.0144032,0.799902529,2
2.76,49.3246785,-0.675321512,0.230546207,1.01505202,0.799901119,2
2.78,49.3237331,-0.676266925,0.233403317,1.01564214,0.799899708,2
2.8,49.3228416,-0.677158402,0.236239419,1.01617544,0.799898297,2
2.82,49.3220024,-0.677997571,0.239054292,1.01665378,0.799896885,2
2.84,49.321214,-0.678786018,0.24184773,1.01707897,0.799895472,2
2.86,49.3204747,-0.679525289,0.244619541,1.01745277,0.799894059,2
2.88,49.3197831,-0.680216892,0.247369548,1.01777689,0.799892646,2
2.9,49.3191377,-0.680862299,0.250097587,1.01805299,0.799891232,2
2.92,49.3185371,-0.681462942,0.25280351,1.01828271,0.799889817,2
2.94,49.3179798,-0.682020221,0.255487178,1.01846762,0.799888403,2
2.96,49.3174645,-0.682535496,0.258148468,1.01860928,0.799886988,2
2.98,49.3169899,-0.683010097,0.260787267,1.01870917,0.799885573,2
3,49.3165547,-0.683445318,0.263403476,1.01876877,0.799884158,2
3.02,49.3161576,-0.68384242,0.265997003,1.01878949,0.799882743,2
3.04,49.3157974,-0.684202633,0.268567773,1.01877273,0.799881328,2
3.06,49.3154728,-0.684527156,0.271115716,1.01871983,0.799879913,2
3.08,49.3151828,-0.684817156,0.273640776,1.0186321,0.799878499,2
3.1,49.3149262,-0.68507377,0.276142906,1.01851083,0.799877084,2
3.12,49.3147019,-0.685298106,0.278622067,1.01835725,0.79987567,2
3.14,49.3145088,-0.685491245,0.281078231,1.01817258,0.799874255,2
3.16,49.3143458,-0.685654237,0.283511379,1.01795799,0.799872842,2
3.18,49.3142119,-0.685788107,0.285921499,1.01771463,0.799871428,2
3.2,49.3141061,-0.685893853,0.288308588,1.01744362,0.799870015,2
3.22,49.3140276,-0.685972447,0.290672653,1.01714604,0.799868602,2
3.24,49.3139752,-0.686024833,0.293013706,1.01682294,0.79986719,2
3.26,49.3139481,-0.686051934,0.295331768,1.01647534,0.799865778,2
3.28,49.3139454,-0.686054646,0.297626866,1.01610426,0.799864367,2
3.3,49.3139662,-0.686033841,0.299899034,1.01571065,0.799862956,2
3.32,49.3140096,-0.685990371,0.302148315,1.01529545,0.799861546,2
3.34,49.3140749,-0.685925062,0.304374755,1.01485959,0.799860137,2
3.36,49.3141613,-0.68583872,0.306578408,1.01440396,0.799858728,2
3.38,49.3142679,-0.685732126,0.308759333,1.01392941,0.79985732,2
3.4,49.314394,-0.685606045,0.310917597,1.01343679,0.799855912,2
3.42,49.3145388,-0.685461217,0.313053269,1.01292692,0.799854505,2
3.44,49.3147016,-0.685298364,0.315166426,1.01240059,0.799853099,2
3.46,49.3148818,-0.685118188,0.317257149,1.01185857,0.799851694,2
3.48,49.3150786,-0.684921371,0.319325523,1.01130161,0.799850289,2
3.5,49.3152914,-0.684708578,0.321371639,1.01073043,0.799848885,2
3.52,49.3155195,-0.684480454,0.323395591,1.01014575,0.799847482,2
3.54,49.3157624,-0.684237627,0.325397479,1.00954824,0.79984608,2
3.56,49.3160193,-0.683980707,0.327377405,1.00893857,0.799844679,2
3.58,49.3162897,-0.683710288,0.329335477,1.00831739,0.799843278,2
3.6,49.3165731,-0.683426945,0.331271804,1.00768532,0.799841879,2
3.62,49.3168688,-0.68313124,0.333186502,1.00704297,0.79984048,2
3.64,49.3171763,-0.682823717,0.335079686,1.00639093,0.799839082,2
3.66,49.3174951,-0.682504905,0.336951479,1.00572976,0.799837686,2
3.68,49.3178247,-0.682175318,0.338802004,1.00506003,0.79983629,2
3.7,49.3181645,-0.681835456,0.340631386,1.00438228,0.799834895,2
3.72,49.3185142,-0.681485803,0.342439756,1.00369701,0.799833501,2
3.74,49.3188732,-0.681126831,0.344227245,1.00300474,0.799832108,2
3.76,49.319241,-0.680758996,0.345993987,1.00230595,0.799830715,2
3.78,49.3196173,-0.680382743,0.347740119,1.00160112,0.799829324,2
3.8,49.3200015,-0.679998503,0.34946578,1.00089071,0.799827934,2
3.82,49.3203933,-0.679606693,0.35117111,1.00017515,0.799826545,2
3.84,49.3207923,-0.67920772,0.352856253,0.999454893,0.799825157,2
3.86,49.321198,-0.678801977,0.354521352,0.998730339,0.79982377,2
3.88,49.3216102,-0.678389847,0.356166554,0.998001894,0.799822384,2
3.9,49.3220283,-0.6779717,0.357792007,0.997269948,0.799820999,2
3.92,49.3224521,-0.677547894,0.359397861,0.996534878,0.799819615,2
3.94,49.3228812,-0.677118779,0.360984265,0.995797049,0.799818232,2
3.96,49.3233153,-0.676684692,0.362551373,0.995056812,0.79981685,2
3.98,49.323754,-0.67624596,0.364099337,0.994314509,0.799815469,2
4,49.3241971,-0.675802901,0.365628311,0.993570469,0.799814089,2
4.02,49.3246442,-0.675355821,0.367138451,0.992825008,0.79981271,2
4.04,49.325095,-0.674905019,0.368629913,0.992078435,0.799811332,2
4.06,49.3255492,-0.674450783,0.370102854,0.991331045,0.799809955,2
4.08,49.3260066,-0.673993391,0.371557432,0.990583125,0.799808579,2
4.1,49.3264669,-0.673533114,0.372993805,0.98983495,0.799807204,2
4.12,49.3269298,-0.673070214,0.374412132,0.989086787,0.799805831,2
4.14,49.3273951,-0.672604943,0.375812572,0.988338892,0.799804458,2
4.16,49.3278625,-0.672137546,0.377195286,0.987591513,0.799803086,2
4.18,49.3283317,-0.67166826,0.378560433,0.986844887,0.799801716,2
4.2,49.3288027,-0.671197314,0.379908175,0.986099244,0.799800346,2
4.22,49.3292751,-0.670724929,0.381238672,0.985354806,0.799798977,2
4.24,49.3297487,-0.670251319,0.382552085,0.984611784,0.79979761,2
4.26,49.3302233,-0.669776691,0.383848574,0.983870383,0.799796243,2
4.28,49.3306988,-0.669301244,0.385128302,0.9831308,0.799794878,2
4.3,49.3311748,-0.66882517,0.386391429,0.982393223,0.799793514,2
4.32,49.3316513,-0.668348656,0.387638116,0.981657835,0.79979215,2
4.34,49.3321281,-0.667871881,0.388868524,0.980924809,0.799790788,2
4.36,49.332605,-0.667395018,0.390082814,0.980194312,0.799789426,2
4.38,49.3330818,-0.666918235,0.391281146,0.979466505,0.799788066,2
4.4,49.3335583,-0.666441692,0.392463681,0.978741541,0.799786707,2
4.42,49.3340345,-0.665965544,0.393630577,0.978019567,0.799785348,2
4.44,49.3345101,-0.665489941,0.394781996,0.977300725,0.799783991,2
4.46,49.334985,-0.665015026,0.395918095,0.976585149,0.799782635,2
4.48,49.3354591,-0.664540938,0.397039035,0.975872968,0.799781279,2
4.5,49.3359322,-0.66406781,0.398144972,0.975164304,0.799779925,2
4.52,49.3364042,-0.663595771,0.399236065,0.974459276,0.799778571,2
4.54,49.3368751,-0.663124943,0.40031247,0.973757994,0.799777219,2
4.56,49.3373446,-0.662655445,0.401374345,0.973060567,0.799775867,2
4.58,49.3378126,-0.66218739,0.402421845,0.972367094,0.799774517,2
4.6,49.3382791,-0.661720888,0.403455126,0.971677673,0.799773167,2
4.62,49.338744,-0.661256042,0.404474342,0.970992395,0.799771819,2
4.64,49.339207,-0.660792954,0.405479646,0.970311348,0.799770471,2
4.66,49.3396683,-0.66033172,0.406471194,0.969634613,0.799769124,2
4.68,49.3401276,-0.659872431,0.407449135,0.968962268,0.799767779,2
4.7,49.3405848,-0.659415175,0.408413624,0.968294387,0.799766434,2
4.72,49.34104,-0.658960037,0.409364809,0.96763104,0.79976509,2
4.74,49.3414929,-0.658507098,0.410302841,0.966972292,0.799763747,2
4.76,49.3419436,-0.658056433,0.411227869,0.966318205,0.799762405,2
4.78,49.3423919,-0.657608117,0.412140042,0.965668835,0.799761064,2
4.8,49.3428378,-0.657162219,0.413039507,0.965024238,0.799759723,2
4.82,49.3432812,-0.656718805,0.413926409,0.964384463,0.799758384,2
4.84,49.3437221,-0.656277939,0.414800896,0.963749557,0.799757045,2
4.86,49.3441603,-0.655839681,0.41566311,0.963119564,0.799755708,2
4.88,49.3445959,-0.655404089,0.416513197,0.962494525,0.799754371,2
4.9,49.3450288,-0.654971216,0.417351297,0.961874477,0.799753035,2
4.92,49.3454589,-0.654541113,0.418177554,0.961259453,0.7997517,2
4.94,49.3458862,-0.654113829,0.418992107,0.960649485,0.799750366,2
4.96,49.3463106,-0.65368941,0.419795097,0.960044602,0.799749032,2
4.98,49.3467321,-0.653267899,0.420586661,0.959444828,0.7997477,2
5,49.3471507,-0.652849336,0.421366938,0.958850187,0.799746368,2
5.02,49.3475662,-0.65243376,0.422136063,0.958260699,0.799745037,2
5.04,49.3479788,-0.652021206,0.422894173,0.957676382,0.799743707,2
